,Date,User,Tweet
116,2022-11-12 13:19:25+00:00,InterstellerBOT,"「どう育てる？」
「最初に十個の受精卵を人工培養する。その後は代理出産で人口は急増する。で30年以内に数百人のコロニーになる。通常コロニーは遺伝的多様性に欠けるけどこれなら問題ない」
「じゃあ今地球にいる人間は？見捨てるのか？俺の子供たちは」
「だからプランAの成功を願っている」"
117,2022-11-12 12:19:25+00:00,InterstellerBOT,"「なんて説明すればいいか…この場所を知ったのは偶然で、うちで起きたある異変からだ」
「異変というのは？」
「いやほら超常現象というか…全然科学的じゃなくて」
「ちゃんと説明してもらえないかね、クーパーさん。もっと詳しく」
「重力よ」"
118,2022-11-12 11:37:03+00:00,Itsjosh7720,"@PopCrave Dark knight rises where she acted like she was caught in the shootout in the bar so that cops dont arrest her,Intersteller all the till the end and The Hustle..!!"
119,2022-11-12 10:19:26+00:00,InterstellerBOT,「可能性を求め12機のレインジャー号が旅立った。もっとも勇敢な人間たちを乗せて。これを率いたのは優秀なマン博士だ」
120,2022-11-12 09:19:25+00:00,InterstellerBOT,"「いずれ人類は広い宇宙を漂流することになる。しがみ付いて一息つける岩を探さなけらばならない」
#インターステラー"
121,2022-11-12 07:19:26+00:00,InterstellerBOT,"「じゃあライオンは？ガゼルを咬み殺すから悪？」
「悪は人間が生むのか」
「ええ」"
122,2022-11-12 06:19:27+00:00,InterstellerBOT,"「見ての通りここでは時間も物理的な次元だ。そして時空を超えられる力があることを実証したじゃないか」
「重力か。メッセージを送れる」
「その通り」"
123,2022-11-12 05:19:31+00:00,InterstellerBOT,"「なんでマーフなんて変な名前にしたの」
「変じゃないさ」
「マーフィーの法則よ」
「あれは悪いことが起こるってことじゃない、起こる可能性があることは起こるって意味だ。パパもママもいい言葉だと思った」"
124,2022-11-12 04:19:28+00:00,InterstellerBOT,"「俺たちのために行くのか」
「泣かれる前に言っておくが、私はロボットだ。命令には従う」
「Qランプが消えているぞ」
「今のは冗談じゃない」"
125,2022-11-12 02:19:30+00:00,InterstellerBOT,"「おいあれまさか」
「ええそうです。あなたが発見されたとき、やはり土星の近くで。電源をやられてて。でも部品はありますよ」
「頼む。直したい」"
126,2022-11-12 01:19:26+00:00,InterstellerBOT,"「一緒に行こうか」
「僕は授業がある。こいつだよ、問題児は」
「何やらかした」
「先生に会えば分かるわ」
「俺が怒るようなことか」
「全然。ねえ先生と揉めないで」
「ああわかってる。任せろ」"
127,2022-11-12 00:57:31+00:00,xonfire_,@HvKII Yh i alr watched all the best ones intersteller inception fight club but im looking for new ones
128,2022-11-12 00:19:25+00:00,InterstellerBOT,「子供のころはそれこそ毎日新しい驚きがあった。そう、道具とかアイデアとか。毎日がクリスマスだった。人口60億人だ。その誰も彼もが、すべてを手に入れようとして争っていた」
129,2022-11-11 23:51:22+00:00,elektro872,"@MusialaEra Inception/Intersteller/Inglorious bastards, all banger trust"
130,2022-11-11 23:38:55+00:00,Interstellerjay,@antimadss Oh and @MagpieMunchie is my art-only blog sorry! Forgot to say that!
131,2022-11-11 23:38:10+00:00,Interstellerjay,@antimadss Thanks for the opportunity to show off! My comm slots are full up till after thanksgiving but should be open to accepting more soon :)) https://t.co/30ipuBdWyu
132,2022-11-11 23:19:33+00:00,InterstellerBOT,"「いつ帰ってくるか分からないってこと？時計なんかいらない！
「だめだこんな別れ方は嫌だ。聞いてくれマーフ、こんな形で別れたくないんだ」"
133,2022-11-11 16:37:47+00:00,anuragclancy,@Chris_Nolann please sir make intersteller 2 and tenet 2. Just please.
134,2022-11-11 14:31:22+00:00,OrangeJersy,"@Nixx_Rajesh Dunkirk 
Intersteller 
Inception 
The Dark knight"
135,2022-11-11 14:19:32+00:00,InterstellerBOT,「俺が農業が好きだったって？」
136,2022-11-11 13:19:26+00:00,InterstellerBOT,「クーパーの言う通りかも。時間も酸素や食料と同じ大事な資源。その損失は痛い」
137,2022-11-11 12:19:25+00:00,InterstellerBOT,"「よう、CASE」
「やあ、TARS」"
138,2022-11-11 11:19:30+00:00,InterstellerBOT,"「我々が重力異常を感知し始めたのは50年前。主に超高層大気での計器類への干渉だが、実際確か、あなたも経験をしているはずだ」
「ああストレーキでの事故か。なぜかオートパイロットが勝手に起動したな」"
139,2022-11-11 11:06:59+00:00,Boiler00007,@Skiplagged Intersteller theme music instead of this annoying music would have been a much better choice 💔
140,2022-11-11 10:19:27+00:00,InterstellerBOT,"「父は40年も重力理論の解明に取り組んできた」
「私が発つ前に教授はすでにその方程式を解いていた」
「なぜそれを利用しなかったの」
「相対性理論と量子力学を一致させられなかった。不足していたんだよ」
「何だ？何が足りない」
「データだよ。ブラックホールの中のね」"
141,2022-11-11 09:19:25+00:00,InterstellerBOT,"「無事だったのか」
「ああ。どうやら5次元の世界で彼らに助けられた」
「彼らってなんだ。なんでそんなに親切なんだ」
「さあな。彼らはあんたにもよくわかるように、5次元の空間の内側に3次元の空間を作った」"
142,2022-11-11 08:19:30+00:00,InterstellerBOT,"「ユーモアの設定レベルは」
「もちろん100％だ」
「頼む75に下げてくれ」
#インターステラー"
143,2022-11-11 07:19:25+00:00,InterstellerBOT,"「例えばここからここに行きたいとする。だがすごく遠い。そこでワームホールがこんな風に2点を繋げる。時空を超えるんだ。3次元の空間を図にするということはだ。2次元で表すわけだから、つまりワームホールは円になる。この円が3次元になると」
「球体か」
「正解だ。球体の穴だ」"
144,2022-11-11 06:20:03+00:00,AafanLone,@TukTuk_Academy V Kohli 42-50
145,2022-11-11 06:19:26+00:00,InterstellerBOT,「山じゃない…あれは波だ！」
146,2022-11-11 05:29:46+00:00,Interstellerjay,@Adabear_Art &lt;:(( I dislike this
147,2022-11-11 05:19:29+00:00,InterstellerBOT,「野球にポップコーンなんか合わない。ホットドッグだろ」
148,2022-11-11 04:43:35+00:00,Interstellerjay,@Adabear_Art WH? SERIOUSLY? Like?? Do they just steal it from the wild?? Is that legal??
